ZAT,ses_cat,ses_cat_r,clus,injury,death,damage,total,walk_pubt,pop_density,pcta_Collector,pcta_Local,pcta_other,MEANIPM
226,3,3,4,6,1,0,7,11197.21331919,948720.7109394182,12.945683596326305,40.71450823139088,0.9600887970043666,2.77
227,3,3,4,28,1,0,29,21845.265387461997,1066775.1527375346,33.118074771644146,43.33389874761149,8.970022782072094,3.517
228,3,3,4,12,3,0,15,12964.52703222,985184.9274257233,34.26899517098042,16.557114454834068,0,3.252
229,3,3,4,11,0,0,11,11774.347436118001,1196775.239302882,31.95768661639391,31.159945552991335,0,2.223
230,3,3,4,19,0,0,19,40580.32117893601,1124568.8566898569,35.60535506279475,42.384501101748235,0,6.46
231,3,3,2,8,0,0,8,16416.242471359998,704516.7267209834,27.24875995464318,34.34587654966635,3.4575809948268246,2.568
232,3,3,2,4,0,0,4,9998.85829612,734074.0368501309,29.60881926708934,34.07996078462339,0,5.005
233,3,3,4,2,1,0,3,11069.447317279999,1539658.6923186013,34.51090354017631,51.11392867864753,0,2.401
234,3,3,4,14,0,0,14,25621.3626946,607206.681004526,23.475066072235943,31.846477995934148,1.8355864052478337,7.382
235,3,3,4,10,0,0,10,24562.486509699993,1261398.8142334265,41.707983085810355,22.905723265302655,0.4338591743002723,4.412
236,3,3,2,11,1,0,12,6895.17193289,1708688.9738832929,54.718148471637306,30.861904127831984,0,7.503
237,3,3,4,6,0,0,6,3082.47133154,1613025.4529750445,25.466331823049615,33.1614767130111,1.6555843145389684,2.482
238,3,3,4,1,0,0,1,10203.540345981999,1745265.9711855142,40.209426001664816,41.23562260139531,0,1.81
239,3,3,4,24,2,0,26,41708.62436701799,1015434.6323545055,36.81220380859194,16.526748897163152,0.40620156261500767,4.447
240,3,3,2,6,0,0,6,25691.12482817,1073009.3764544681,40.32208355829929,10.03433986188607,1.054133709357476,3.261
241,4,4,2,18,0,0,18,62396.79740758197,756521.9199049657,28.687185956058787,22.022652986818965,1.2364127218044374,9.273
242,3,3,2,8,0,0,8,45734.828676466,26036.113784985202,38.74580662297304,11.955170043616226,0,0
243,6,6,2,10,0,0,10,9608.655170498,943084.8291697938,24.943083581789995,30.426167287797217,0,0.907
244,6,6,3,11,2,0,13,16802.309098414,1326111.3078429003,21.80422565223913,31.43525864696369,0.7727178801024647,0.964
245,5,5,2,13,0,0,13,35988.28255825,1338707.9843127194,43.95760112565838,24.067704706691025,0.6733941273382231,1.923
246,5,5,2,6,0,0,6,53587.781761707985,539304.5278048909,53.65529678073545,28.367630416341633,0,1.681
247,4,4,2,48,2,0,50,102008.58932080404,571278.6307234498,30.65828441725425,14.669441819113432,0.3129649322400295,4.502
248,6,6,3,6,1,0,7,25117.151917884003,1678540.4242793277,33.01292658893588,34.46999547167131,2.6960579073504256,0.821
250,5,5,3,1,0,0,1,22598.606896064,1108718.537351507,21.243493582754567,26.482906085331877,2.6440061311371656,14.777
251,4,4,3,6,1,0,7,18928.185813360004,2609018.6654035067,35.13609012728758,33.35035085837705,3.5446360976946374,2.745
252,5,5,3,11,0,0,11,58924.75237243801,2371276.450486033,38.19888015477116,45.84087324578151,1.0994562934938055,1.241
253,5,5,4,7,1,0,8,19862.932087240002,1017730.4211196322,36.27780439953685,33.42368837742243,0.545415712506002,0.901
254,3,3,4,23,0,0,23,75239.34562835003,294537.1981408082,23.829187834517857,14.519702421439696,0,7.97
255,4,4,4,56,3,0,59,120795.87758092402,1741594.4067164285,39.34347410910919,18.41570577605484,1.925604161086373,6.226
256,6,6,3,3,0,0,3,15174.115431370003,929921.0284721727,13.49387040092499,39.03198714451136,4.220668779491587,1.514
257,6,6,4,6,0,0,6,19812.823524944,1698853.9335757124,11.997012035279981,31.70456428244463,5.954483188100382,1.866
258,5,5,4,20,0,0,20,81179.432979932,475712.5574323214,35.81898857478672,21.015842044392947,0.3204671930533053,13.037
259,5,5,4,24,1,0,25,78755.04562653201,721108.1789995987,16.103506780656303,18.158541085359193,8.481592531623733,8.024
260,6,6,4,1,0,1,2,6008.701974829999,1427532.810610162,24.428549921530283,34.17377642906301,3.1434966367836648,0.545
261,6,6,4,10,1,0,11,32072.775794379995,1056135.057484579,25.492630491880526,23.964463894460884,1.247023592759738,1.331
262,6,6,4,1,0,0,1,15042.252652129997,1435551.5407686909,18.532139768945395,24.934065652875574,5.357342465299758,1.061
263,6,6,4,3,0,0,3,8703.999845260001,1167953.9600456338,40.16938916468341,15.870347122614717,5.869782210564097,3.809
264,6,6,3,12,0,1,13,8133.04010093,2120316.4497068403,3.0063813094677823,36.97795656644342,9.321670361611336,1.487
265,5,5,3,8,0,0,8,4026.0524832200003,124702.51664630615,9.340287811731299,22.9838066721353,6.429151976171718,0.72
266,3,3,3,1,0,0,1,1963.4594477200003,1633493.843980103,22.505016638274327,40.82559250812609,21.28101311889314,2.597
267,5,5,3,1,0,0,1,2535.04992265,510316.68727797695,27.382534831068543,17.926212958007845,9.42169508236736,0.083
270,1,1,3,2,1,0,3,4016.7524752599993,949837.8213757976,15.525031575008255,61.82856534495227,12.395192377017445,5.774
271,4,4,3,6,0,0,6,72751.46506313099,573674.112940479,5.500266648351191,40.28588100315743,0.9976732811259758,5.168
272,4,4,3,16,2,0,18,36814.245664812,2284924.98272957,25.97338077124771,18.710774399225404,1.4324993664330503,0.896
273,4,4,4,11,0,0,11,20474.735842936,2794012.0250168527,23.549269795462436,38.34008258608191,0.9628687878583734,1.002
274,4,4,3,6,1,0,7,35440.725589040005,2332541.187822088,17.738590221894558,45.55930309031771,2.028863840942433,7.844
275,3,3,4,112,6,0,118,139253.6974866481,1783812.0216553072,26.6004222808915,16.143224242907515,0.2116329342791595,2.432
276,4,4,4,95,4,0,99,220083.95214810176,1681706.8860318472,21.423058755494427,11.806764532009524,1.0046927543918587,2.597
277,4,4,4,20,2,0,22,99656.75992060198,2579968.047627354,12.965362178823128,24.731064460064513,1.060022943002272,2.042
278,4,4,4,9,2,0,11,30331.100003762,1835319.000510947,29.895083086952663,41.71962958709421,1.3526035828935377,1.55
279,4,4,4,25,1,0,26,66781.381093122,1888760.9068197277,40.73959440060777,35.0285372157593,0.7300795003130047,2.578
280,3,3,4,16,1,0,17,46105.64109493199,2499687.339895665,53.594570997742,5.18671027950278,0.3682092157633968,2.856
281,3,3,4,18,3,0,21,56786.76901429596,1743979.7625888598,36.600756196782505,26.995434900994812,0,2.679
282,4,4,4,15,0,1,16,34061.59819177401,1560028.895078056,46.24917516789726,31.02454231888298,1.048424309077679,2.374
283,4,4,4,10,0,0,10,20031.304457399998,1090167.929715192,25.108552536140756,34.953461613218614,1.386930223148549,4.596
284,2,2,3,1,0,0,1,19280.213585259997,1257298.7402320213,28.405816502860066,22.587316315605737,6.982980835490842,1.868
285,4,4,4,5,0,0,5,17156.15367103,1766876.0339460867,51.778750919453934,34.63914183635761,0,2.412
286,4,4,4,20,0,0,20,60461.06764560801,1374497.0417139214,50.49674042939343,21.106114830412732,0.22783130754556935,1.983
287,3,3,4,15,0,0,15,49856.500373541014,2216061.3921832875,61.33980952922956,38.53518102700313,0.12500944376731157,2.491
288,4,4,4,22,4,0,26,27824.740482184006,2354741.5440762993,13.607456206586043,27.793728387953198,11.017382095500956,1.077
289,4,4,3,14,1,0,15,126136.23402796498,0,11.959751795465422,6.444632208476905,4.626400549863828,0.663
