ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
678,4588,599,41,13.055797733217089
679,7635,1041,44,13.634577603143418
680,2101,176,23,8.37696335078534
681,20912,2023,168,9.673871461361898
682,33758,4214,232,12.482967000414716
683,7198,830,71,11.53098082800778
684,1821,174,48,9.555189456342669
685,838,51,12,6.085918854415274
686,10271,1131,87,11.011586018888131
687,7228,872,44,12.064194798007748
688,11344,1384,84,12.200282087447109
689,18207,1892,129,10.391607623441534
690,9255,1095,69,11.831442463533225
691,10012,1128,89,11.266480223731522
692,11493,1413,93,12.294440093970243
693,9706,913,57,9.406552647846693
694,5698,545,44,9.564759564759564
695,35,4,1,11.428571428571429
696,4000,384,36,9.6
698,3410,358,27,10.498533724340176
699,3198,340,37,10.631644777986242
700,1567,144,11,9.189534141671984
701,7874,810,118,10.287020574041149
702,3795,353,59,9.30171277997365
703,20226,1539,133,7.609018095520617
706,30,3,1,10
708,5212,569,36,10.917114351496547
709,10374,1125,75,10.84441873915558
710,11560,1236,89,10.69204152249135
711,11852,1277,120,10.774552818089774
712,3936,466,46,11.839430894308943
713,45,5,1,11.11111111111111
714,13668,1104,145,8.077260755048288
715,12394,1337,160,10.787477811844441
716,11486,1286,107,11.196238899529863
717,13989,1499,105,10.715562227464437
718,5853,641,53,10.951648727148472
719,3093,310,32,10.022631749110895
720,10738,884,173,8.232445520581114
721,4842,374,90,7.724080958281702
722,2956,186,65,6.292286874154263
723,5623,508,82,9.03432331495643
724,5499,510,52,9.274413529732678
725,13693,1126,160,8.223179726867743
726,162,7,3,4.320987654320987
727,7326,554,50,7.562107562107562
728,9189,805,64,8.76047448035695
729,3286,207,32,6.299452221545953
730,33,4,1,12.121212121212121
731,13736,741,8,5.394583576004659
732,14973,2125,85,14.192212649435652
733,6084,723,58,11.883629191321498
734,2301,226,26,9.821816601477618
735,15724,1862,119,11.841770541846858
736,16690,2089,116,12.516476932294788
737,3874,461,39,11.899845121321631
738,20,1,1,5
739,77,6,3,7.792207792207792
740,15083,1860,73,12.33176423788371
741,4413,443,36,10.038522547020168
742,5807,691,36,11.899431720337523
743,18561,1739,117,9.369107267927374
744,10551,1249,56,11.837740498530945
745,13574,1158,175,8.531015176071902
746,1062,47,15,4.425612052730696
748,1222,131,22,10.72013093289689
749,8907,781,174,8.76838441675087
750,566,19,5,3.3568904593639575
751,30548,2818,217,9.22482650255336
752,11053,1452,82,13.136704966977291
753,11500,1364,83,11.860869565217392
754,12467,1315,100,10.547846314269671
755,19291,1850,206,9.589964232025297
756,7126,656,81,9.205725512208813
757,3160,144,18,4.556962025316456
759,1820,176,33,9.67032967032967
760,2812,239,37,8.499288762446657
761,13388,1130,164,8.44039438302958
763,19,3,1,15.789473684210526
764,88,11,1,12.5
768,303,13,3,4.29042904290429
795,3633,341,55,9.386182218552161
796,967,86,29,8.89348500517063
797,440,32,9,7.2727272727272725
835,16206,1466,77,9.046032333703566
836,9800,1154,54,11.775510204081632
837,3400,472,18,13.882352941176471
838,13278,2405,18,18.11266757041723
839,3623,667,12,18.410157328181064
840,3420,290,22,8.47953216374269
841,10325,1627,50,15.757869249394673
842,8109,1352,50,16.672832655074608
843,1276,175,8,13.714733542319749
844,18,5,2,27.77777777777778
845,259,23,1,8.88030888030888
847,1040,227,7,21.826923076923077
848,1266,312,16,24.644549763033176
849,4787,794,23,16.586588677668686
850,3695,692,22,18.728010825439785
851,6028,1241,31,20.587259455872594
852,6525,1557,49,23.862068965517242
853,5333,1558,28,29.21432589536846
854,46,0,1,0
855,2326,338,15,14.531384350816852
939,11020,1090,79,9.891107078039928
940,1935,257,24,13.281653746770026
941,103,17,2,16.50485436893204
942,10445,1771,81,16.955481091431306
943,15129,1770,67,11.699385286535792
944,6871,733,16,10.668025032746325
945,20142,1549,165,7.690398172971899
946,1053,129,10,12.250712250712251
947,25199,1578,82,6.262153260050002
948,27765,3253,136,11.716189447145688
949,12,0,1,0
950,18963,1606,9,8.469124083742024
951,15311,2062,27,13.467441708575533
952,2331,542,4,23.25182325182325
953,17893,1997,5,11.160789135416085
954,6688,1231,31,18.4061004784689
955,9071,806,10,8.885459155550656
956,6407,627,3,9.78617137505853
957,55,2,1,3.6363636363636362
958,70,10,3,14.285714285714286
959,36,2,1,5.555555555555555
960,740,83,7,11.216216216216216
961,4933,439,39,8.8992499493209
962,1370,157,11,11.459854014598541
963,5350,669,40,12.504672897196262
964,6072,942,39,15.513833992094861
965,3110,217,10,6.977491961414791
966,2296,193,15,8.405923344947736
967,24,3,1,12.5
968,860,158,6,18.372093023255815
969,2620,390,10,14.885496183206106
970,2894,423,15,14.61644782308224
972,2949,362,24,12.275347575449304
973,19783,2095,132,10.58990041955214
974,3526,319,36,9.047078842881453
975,3138,521,2,16.602931803696624
976,3212,409,15,12.733499377334994
977,2894,351,24,12.128541810642709
978,7038,685,73,9.732878658709861
979,10189,1234,85,12.111100206104622
980,2884,146,3,5.0624133148405
981,5319,830,36,15.604436924233879
982,4887,903,39,18.47759361571516
983,3275,497,21,15.17557251908397
984,921,152,6,16.503800217155266
